Name of Painter,Subject of Painting,Style,Medium,Size,Frame,Location,Price ($),Delivery (days),Shipment,Color Palette,Copy or Original,Print or Real,Recommended Environment,Mood/Atmosphere,Theme/Lighting Requirements,Reproduction Type,Target Audience
Frida,Portrait,Modern,Charcoal,"20""x30""",No,Los Angeles,245,9,Express,Cool Tones,Copy,Real,Gallery,Calming,Bright Light,Lithograph,Young Professionals
Ava,Seascape,Realism,Mixed Media,"30""x40""",No,Miami,469,4,Free Shipping,Warm Tones,Copy,Print,Bedroom,Energetic,Dim Light,Screen Print,Families
Vincent,Landscape,Surrealism,Charcoal,"24""x36""",No,Calgary,231,10,Free Shipping,Cool Tones,Original,Print,Kid Room,Joyful,Dim Light,Screen Print,Families
Olivia,Seascape,Impressionism,Mixed Media,"24""x36""",No,Toronto,558,7,Standard,Cool Tones,Copy,Real,Kid Room,Energetic,Natural Light,N/A,Families
Ava,Portrait,Abstract Expressionism,Acrylic,"16""x20""",Yes,Miami,384,3,Express,Neutral Tones,Copy,Real,Kid Room,Energetic,Dim Light,Fine Art Print,Interior Designers
Pablo,Seascape,Modern,Charcoal,"16""x20""",Yes,Toronto,649,6,Free Shipping,Cool Tones,Copy,Print,Office,Energetic,Natural Light,Lithograph,Art Collectors
Noah,Still Life,Abstract Expressionism,Mixed Media,"18""x24""",Yes,Montreal,299,4,Express,Warm Tones,Copy,Real,Gallery,Relaxing,Natural Light,Lithograph,Interior Designers
Emma,Landscape,Surrealism,Charcoal,"24""x36""",No,Calgary,225,5,Standard,Earthy Tones,Copy,Real,Bedroom,Joyful,Natural Light,Lithograph,Interior Designers
Jija,Fantasy,Abstract Expressionism,Watercolor,"24""x36""",No,Montreal,469,3,Standard,Warm Tones,Original,Print,Office,Reflective,Bright Light,Lithograph,Families
Pablo,Seascape,Surrealism,Oil,"18""x24""",No,Toronto,127,10,Free Shipping,Warm Tones,Copy,Print,Kid Room,Joyful,Dim Light,Fine Art Print,Art Collectors
Vincent,Landscape,Modern,Watercolor,"30""x40""",Yes,Miami,848,7,Free Shipping,Oceanic Tones,Original,Real,Gallery,Joyful,Natural Light,Lithograph,Corporate Clients
Leonardo,Abstract,Realism,Watercolor,"30""x40""",No,Los Angeles,413,3,Express,Earthy Tones,Original,Print,Living Room,Calming,Dim Light,Screen Print,Young Professionals
Olivia,Wildlife,Abstract Expressionism,Mixed Media,"20""x30""",No,Vancouver,707,5,Standard,Oceanic Tones,Original,Real,Gallery,Calming,Bright Light,Screen Print,Interior Designers
Noah,Portrait,Abstract Expressionism,Watercolor,"20""x30""",No,Vancouver,290,6,Free Shipping,Cool Tones,Original,Real,Office,Reflective,Natural Light,Giclée,Families
Vincent,Abstract,Modern,Watercolor,"24""x36""",No,Toronto,649,3,Express,Earthy Tones,Original,Print,Kid Room,Reflective,Dim Light,Screen Print,Corporate Clients
Olivia,Portrait,Surrealism,Oil,"20""x30""",Yes,Los Angeles,348,7,Standard,Neutral Tones,Original,Print,Living Room,Reflective,Natural Light,Giclée,Young Professionals
Noah,Abstract,Impressionism,Mixed Media,"20""x30""",No,Calgary,715,4,Express,Cool Tones,Copy,Print,Office,Energetic,Bright Light,N/A,Families
Jija,Seascape,Impressionism,Watercolor,"20""x30""",Yes,Montreal,707,8,Free Shipping,Earthy Tones,Original,Real,Kid Room,Joyful,Bright Light,Screen Print,Art Collectors
Olivia,Portrait,Cubism,Acrylic,"18""x24""",No,Los Angeles,785,8,Express,Warm Tones,Original,Real,Gallery,Reflective,Natural Light,Lithograph,Families
Ava,Portrait,Surrealism,Oil,"20""x30""",No,Calgary,516,3,Standard,Cool Tones,Original,Real,Office,Reflective,Bright Light,Lithograph,Corporate Clients
Emma,Seascape,Realism,Charcoal,"30""x40""",No,Vancouver,657,8,Express,Earthy Tones,Original,Print,Office,Relaxing,Dim Light,Lithograph,Young Professionals
Jija,Abstract,Surrealism,Watercolor,"24""x36""",No,Montreal,794,10,Free Shipping,Warm Tones,Original,Real,Gallery,Reflective,Bright Light,Screen Print,Interior Designers
Emma,Seascape,Modern,Watercolor,"30""x40""",Yes,Los Angeles,149,6,Standard,Warm Tones,Copy,Real,Bedroom,Calming,Bright Light,Lithograph,Art Collectors
Liam,Portrait,Surrealism,Mixed Media,"20""x30""",No,Vancouver,854,3,Express,Neutral Tones,Copy,Real,Kid Room,Joyful,Natural Light,Lithograph,Interior Designers
Leonardo,Abstract,Surrealism,Oil,"20""x30""",No,New York,875,8,Standard,Warm Tones,Copy,Real,Kid Room,Reflective,Bright Light,N/A,Interior Designers
Vincent,Abstract,Modern,Oil,"18""x24""",Yes,Vancouver,459,4,Free Shipping,Cool Tones,Original,Real,Living Room,Calming,Natural Light,Lithograph,Young Professionals
Pablo,Landscape,Abstract Expressionism,Oil,"30""x40""",No,New York,657,8,Free Shipping,Neutral Tones,Original,Print,Bedroom,Joyful,Natural Light,Giclée,Young Professionals
Jija,Seascape,Realism,Watercolor,"24""x36""",Yes,Montreal,782,8,Free Shipping,Cool Tones,Copy,Print,Kid Room,Energetic,Bright Light,N/A,Corporate Clients
Noah,Wildlife,Impressionism,Watercolor,"30""x40""",No,Montreal,816,3,Express,Neutral Tones,Copy,Print,Gallery,Calming,Natural Light,Giclée,Families
Emma,Fantasy,Surrealism,Watercolor,"20""x30""",No,Calgary,294,3,Express,Earthy Tones,Original,Real,Office,Calming,Dim Light,N/A,Corporate Clients
Jija,Seascape,Realism,Watercolor,"20""x30""",Yes,Montreal,746,9,Free Shipping,Earthy Tones,Copy,Print,Office,Relaxing,Dim Light,Giclée,Corporate Clients
Olivia,Abstract,Surrealism,Acrylic,"20""x30""",No,New York,231,7,Free Shipping,Warm Tones,Copy,Print,Office,Energetic,Natural Light,Giclée,Interior Designers
Noah,Abstract,Abstract Expressionism,Oil,"30""x40""",Yes,Chicago,909,4,Free Shipping,Neutral Tones,Copy,Print,Bedroom,Joyful,Dim Light,Giclée,Art Collectors
Jija,Wildlife,Cubism,Watercolor,"24""x36""",Yes,Montreal,640,7,Standard,Oceanic Tones,Original,Real,Living Room,Relaxing,Natural Light,Giclée,Corporate Clients
Emma,Seascape,Surrealism,Oil,"20""x30""",No,Los Angeles,746,4,Express,Oceanic Tones,Copy,Real,Office,Calming,Dim Light,Screen Print,Interior Designers
Ava,Still Life,Realism,Oil,"24""x36""",Yes,Vancouver,348,10,Standard,Oceanic Tones,Copy,Print,Gallery,Energetic,Natural Light,Giclée,Corporate Clients
Claude,Still Life,Modern,Charcoal,"24""x36""",No,Calgary,875,6,Standard,Cool Tones,Copy,Print,Office,Relaxing,Bright Light,Lithograph,Young Professionals
Jija,Still Life,Surrealism,Watercolor,"24""x36""",No,Montreal,640,10,Express,Oceanic Tones,Copy,Print,Gallery,Joyful,Bright Light,Giclée,Corporate Clients
Jija,Seascape,Realism,Watercolor,"24""x36""",No,Montreal,452,4,Standard,Cool Tones,Original,Real,Gallery,Calming,Bright Light,Screen Print,Families
Liam,Fantasy,Modern,Mixed Media,"30""x40""",Yes,Vancouver,157,8,Free Shipping,Cool Tones,Copy,Print,Kid Room,Joyful,Bright Light,Screen Print,Art Collectors
Noah,Portrait,Realism,Mixed Media,"30""x40""",Yes,New York,205,10,Free Shipping,Oceanic Tones,Original,Print,Office,Relaxing,Dim Light,Giclée,Art Collectors
Olivia,Fantasy,Realism,Oil,"16""x20""",Yes,New York,848,7,Express,Neutral Tones,Copy,Print,Kid Room,Relaxing,Natural Light,Fine Art Print,Young Professionals
Pablo,Fantasy,Cubism,Charcoal,"16""x20""",No,Miami,868,6,Express,Warm Tones,Original,Print,Office,Joyful,Dim Light,N/A,Young Professionals
Vincent,Wildlife,Realism,Mixed Media,"24""x36""",No,Calgary,696,7,Express,Earthy Tones,Copy,Print,Office,Reflective,Bright Light,Giclée,Young Professionals
Frida,Wildlife,Abstract Expressionism,Mixed Media,"20""x30""",No,Calgary,657,8,Express,Oceanic Tones,Copy,Real,Gallery,Calming,Dim Light,Lithograph,Interior Designers
Vincent,Seascape,Modern,Mixed Media,"18""x24""",Yes,Miami,231,4,Standard,Earthy Tones,Copy,Print,Gallery,Relaxing,Bright Light,Lithograph,Families
Olivia,Wildlife,Realism,Acrylic,"24""x36""",Yes,Toronto,683,3,Express,Cool Tones,Copy,Print,Bedroom,Energetic,Dim Light,Screen Print,Young Professionals
Olivia,Fantasy,Cubism,Watercolor,"30""x40""",No,New York,505,8,Express,Earthy Tones,Copy,Real,Gallery,Energetic,Bright Light,N/A,Young Professionals
Frida,Abstract,Cubism,Watercolor,"24""x36""",Yes,Miami,179,8,Express,Warm Tones,Original,Real,Office,Joyful,Dim Light,Lithograph,Corporate Clients
Liam,Seascape,Abstract Expressionism,Mixed Media,"24""x36""",No,Toronto,794,8,Standard,Cool Tones,Copy,Print,Gallery,Joyful,Dim Light,Lithograph,Interior Designers
Pablo,Still Life,Cubism,Charcoal,"20""x30""",Yes,Montreal,459,6,Express,Neutral Tones,Copy,Print,Kid Room,Energetic,Natural Light,Fine Art Print,Corporate Clients
Vincent,Seascape,Impressionism,Acrylic,"24""x36""",Yes,Montreal,344,3,Standard,Cool Tones,Copy,Real,Bedroom,Calming,Natural Light,Screen Print,Families
Pablo,Landscape,Cubism,Oil,"18""x24""",Yes,Toronto,339,4,Express,Oceanic Tones,Original,Real,Living Room,Joyful,Natural Light,Giclée,Families
Vincent,Landscape,Cubism,Mixed Media,"30""x40""",No,Vancouver,469,4,Express,Cool Tones,Original,Real,Living Room,Relaxing,Dim Light,Giclée,Young Professionals
Olivia,Landscape,Abstract Expressionism,Acrylic,"18""x24""",Yes,Vancouver,734,10,Standard,Cool Tones,Original,Real,Kid Room,Relaxing,Dim Light,Screen Print,Families
Olivia,Wildlife,Abstract Expressionism,Charcoal,"20""x30""",No,Los Angeles,179,6,Free Shipping,Earthy Tones,Original,Real,Office,Reflective,Dim Light,Lithograph,Interior Designers
Olivia,Fantasy,Modern,Watercolor,"16""x20""",No,Toronto,231,9,Express,Oceanic Tones,Original,Print,Office,Relaxing,Bright Light,Screen Print,Young Professionals
Jija,Fantasy,Surrealism,Watercolor,"20""x30""",No,Montreal,396,6,Standard,Neutral Tones,Original,Print,Kid Room,Energetic,Natural Light,Screen Print,Young Professionals
Ava,Still Life,Abstract Expressionism,Oil,"18""x24""",Yes,Calgary,384,5,Free Shipping,Earthy Tones,Original,Print,Office,Joyful,Bright Light,N/A,Young Professionals
Leonardo,Wildlife,Realism,Charcoal,"30""x40""",Yes,Montreal,339,7,Standard,Neutral Tones,Copy,Print,Bedroom,Reflective,Dim Light,Screen Print,Interior Designers
Leonardo,Fantasy,Abstract Expressionism,Oil,"16""x20""",No,Chicago,452,3,Express,Earthy Tones,Original,Print,Bedroom,Joyful,Dim Light,Giclée,Families
Olivia,Seascape,Cubism,Acrylic,"24""x36""",No,Montreal,857,7,Free Shipping,Earthy Tones,Original,Real,Gallery,Relaxing,Natural Light,N/A,Art Collectors
Liam,Seascape,Cubism,Acrylic,"16""x20""",No,Chicago,348,7,Standard,Cool Tones,Original,Real,Office,Calming,Dim Light,Lithograph,Young Professionals
Liam,Landscape,Realism,Oil,"30""x40""",Yes,Montreal,890,10,Free Shipping,Earthy Tones,Original,Real,Gallery,Calming,Natural Light,Screen Print,Corporate Clients
Noah,Seascape,Impressionism,Watercolor,"30""x40""",Yes,Calgary,469,6,Standard,Warm Tones,Original,Print,Bedroom,Energetic,Natural Light,Giclée,Interior Designers
Jija,Portrait,Cubism,Watercolor,"30""x40""",Yes,Montreal,528,7,Standard,Cool Tones,Copy,Real,Bedroom,Joyful,Natural Light,Lithograph,Corporate Clients
Claude,Seascape,Realism,Charcoal,"20""x30""",No,Montreal,657,6,Express,Earthy Tones,Original,Real,Kid Room,Joyful,Natural Light,N/A,Families
Leonardo,Abstract,Surrealism,Oil,"24""x36""",Yes,Calgary,130,7,Standard,Warm Tones,Original,Print,Kid Room,Joyful,Natural Light,N/A,Art Collectors
Claude,Fantasy,Surrealism,Oil,"24""x36""",Yes,Montreal,368,10,Free Shipping,Warm Tones,Original,Print,Office,Joyful,Dim Light,Giclée,Art Collectors
Jija,Portrait,Modern,Watercolor,"18""x24""",Yes,Montreal,413,7,Standard,Warm Tones,Copy,Print,Living Room,Relaxing,Dim Light,Screen Print,Families
Noah,Wildlife,Impressionism,Mixed Media,"20""x30""",No,Los Angeles,890,6,Free Shipping,Warm Tones,Copy,Real,Bedroom,Reflective,Bright Light,Screen Print,Art Collectors
Frida,Portrait,Abstract Expressionism,Acrylic,"16""x20""",Yes,Miami,149,5,Express,Warm Tones,Copy,Real,Living Room,Calming,Natural Light,N/A,Corporate Clients
Leonardo,Landscape,Cubism,Charcoal,"16""x20""",Yes,Los Angeles,404,10,Standard,Neutral Tones,Original,Real,Living Room,Joyful,Natural Light,N/A,Families
Olivia,Fantasy,Impressionism,Charcoal,"18""x24""",No,Calgary,149,3,Standard,Oceanic Tones,Original,Real,Living Room,Reflective,Natural Light,Lithograph,Young Professionals
Emma,Landscape,Realism,Acrylic,"18""x24""",No,Chicago,704,7,Standard,Earthy Tones,Copy,Print,Bedroom,Joyful,Natural Light,Giclée,Corporate Clients
Vincent,Fantasy,Realism,Acrylic,"18""x24""",Yes,Montreal,339,9,Express,Earthy Tones,Copy,Real,Kid Room,Reflective,Dim Light,Lithograph,Corporate Clients
Pablo,Landscape,Impressionism,Oil,"24""x36""",Yes,Chicago,623,10,Express,Oceanic Tones,Original,Print,Living Room,Energetic,Bright Light,N/A,Corporate Clients
Pablo,Landscape,Cubism,Watercolor,"18""x24""",No,Los Angeles,891,9,Standard,Oceanic Tones,Original,Print,Living Room,Joyful,Natural Light,N/A,Art Collectors
Ava,Wildlife,Modern,Watercolor,"30""x40""",Yes,Calgary,683,5,Free Shipping,Earthy Tones,Original,Real,Kid Room,Joyful,Natural Light,N/A,Young Professionals
Vincent,Seascape,Realism,Charcoal,"24""x36""",Yes,Calgary,918,5,Express,Earthy Tones,Original,Print,Kid Room,Relaxing,Bright Light,Screen Print,Families
Ava,Seascape,Impressionism,Oil,"20""x30""",No,Vancouver,715,7,Express,Warm Tones,Copy,Real,Living Room,Energetic,Natural Light,Lithograph,Interior Designers
Vincent,Landscape,Modern,Oil,"24""x36""",No,Los Angeles,623,4,Express,Warm Tones,Copy,Print,Gallery,Reflective,Natural Light,Lithograph,Corporate Clients
Emma,Fantasy,Realism,Mixed Media,"20""x30""",No,Calgary,179,3,Standard,Warm Tones,Original,Print,Gallery,Joyful,Natural Light,Lithograph,Corporate Clients
Leonardo,Abstract,Abstract Expressionism,Watercolor,"16""x20""",Yes,New York,581,4,Express,Warm Tones,Copy,Real,Living Room,Relaxing,Bright Light,Screen Print,Corporate Clients
Vincent,Seascape,Cubism,Mixed Media,"16""x20""",Yes,New York,212,6,Express,Earthy Tones,Copy,Print,Kid Room,Joyful,Bright Light,Lithograph,Young Professionals
Frida,Seascape,Surrealism,Charcoal,"24""x36""",No,Calgary,231,10,Free Shipping,Cool Tones,Original,Print,Kid Room,Energetic,Dim Light,Screen Print,Young Professionals
Leonardo,Abstract,Abstract Expressionism,Mixed Media,"24""x36""",No,Vancouver,459,10,Express,Cool Tones,Copy,Real,Gallery,Reflective,Natural Light,Screen Print,Families
Leonardo,Seascape,Surrealism,Acrylic,"24""x36""",Yes,Montreal,197,3,Free Shipping,Neutral Tones,Original,Real,Bedroom,Reflective,Bright Light,Giclée,Families
Jija,Wildlife,Impressionism,Watercolor,"16""x20""",Yes,Montreal,640,6,Standard,Warm Tones,Copy,Real,Office,Joyful,Dim Light,N/A,Young Professionals
Claude,Still Life,Cubism,Watercolor,"18""x24""",No,Vancouver,704,7,Express,Oceanic Tones,Copy,Print,Living Room,Calming,Natural Light,Giclée,Art Collectors
Ava,Abstract,Modern,Oil,"18""x24""",No,Los Angeles,868,7,Express,Warm Tones,Copy,Print,Living Room,Calming,Dim Light,Giclée,Corporate Clients
Emma,Wildlife,Modern,Acrylic,"30""x40""",No,Montreal,348,4,Express,Earthy Tones,Original,Real,Living Room,Energetic,Bright Light,Screen Print,Corporate Clients
Ava,Fantasy,Impressionism,Watercolor,"20""x30""",No,Chicago,452,8,Free Shipping,Oceanic Tones,Copy,Print,Kid Room,Calming,Dim Light,Lithograph,Young Professionals
Vincent,Seascape,Impressionism,Oil,"24""x36""",Yes,Toronto,715,4,Standard,Neutral Tones,Copy,Real,Living Room,Energetic,Natural Light,N/A,Art Collectors
Claude,Still Life,Modern,Charcoal,"16""x20""",Yes,Los Angeles,477,10,Standard,Warm Tones,Copy,Print,Office,Reflective,Dim Light,Lithograph,Families
Claude,Still Life,Cubism,Watercolor,"30""x40""",No,Los Angeles,149,10,Free Shipping,Oceanic Tones,Copy,Print,Bedroom,Relaxing,Natural Light,N/A,Families
Leonardo,Seascape,Cubism,Acrylic,"30""x40""",No,Calgary,649,6,Standard,Neutral Tones,Copy,Real,Bedroom,Relaxing,Natural Light,Lithograph,Families
Liam,Wildlife,Abstract Expressionism,Watercolor,"24""x36""",Yes,Chicago,197,4,Free Shipping,Oceanic Tones,Original,Real,Office,Relaxing,Natural Light,Giclée,Corporate Clients
Emma,Wildlife,Cubism,Charcoal,"18""x24""",Yes,Vancouver,875,9,Standard,Neutral Tones,Original,Real,Bedroom,Joyful,Natural Light,Lithograph,Art Collectors
Frida,Wildlife,Cubism,Charcoal,"30""x40""",No,Chicago,975,4,Express,Neutral Tones,Copy,Print,Bedroom,Calming,Bright Light,Screen Print,Families
Pablo,Fantasy,Surrealism,Watercolor,"18""x24""",No,New York,290,4,Express,Oceanic Tones,Original,Real,Office,Joyful,Bright Light,Screen Print,Corporate Clients
Jija,Portrait,Surrealism,Watercolor,"18""x24""",No,Montreal,272,3,Standard,Earthy Tones,Original,Real,Kid Room,Energetic,Dim Light,Screen Print,Families
Pablo,Fantasy,Cubism,Watercolor,"24""x36""",No,Miami,225,5,Express,Neutral Tones,Original,Print,Living Room,Calming,Dim Light,N/A,Young Professionals
Claude,Still Life,Realism,Charcoal,"20""x30""",No,Los Angeles,938,4,Express,Neutral Tones,Original,Real,Kid Room,Energetic,Natural Light,Lithograph,Young Professionals
Liam,Landscape,Modern,Oil,"16""x20""",No,Calgary,644,6,Standard,Oceanic Tones,Original,Real,Living Room,Reflective,Dim Light,Lithograph,Art Collectors
Ava,Seascape,Modern,Watercolor,"30""x40""",Yes,Chicago,334,7,Express,Warm Tones,Copy,Real,Gallery,Joyful,Bright Light,N/A,Families
Jija,Portrait,Surrealism,Watercolor,"30""x40""",No,Montreal,623,3,Free Shipping,Warm Tones,Copy,Print,Office,Relaxing,Natural Light,Giclée,Young Professionals
Liam,Abstract,Impressionism,Watercolor,"24""x36""",Yes,Calgary,222,5,Standard,Earthy Tones,Copy,Print,Office,Relaxing,Dim Light,N/A,Art Collectors
Liam,Still Life,Realism,Oil,"16""x20""",No,Montreal,308,4,Standard,Warm Tones,Original,Real,Office,Relaxing,Natural Light,Screen Print,Interior Designers
Noah,Landscape,Abstract Expressionism,Oil,"20""x30""",Yes,Los Angeles,299,3,Standard,Earthy Tones,Copy,Print,Gallery,Joyful,Natural Light,Lithograph,Young Professionals
Liam,Seascape,Abstract Expressionism,Mixed Media,"18""x24""",No,Toronto,290,4,Standard,Neutral Tones,Original,Real,Bedroom,Reflective,Natural Light,N/A,Art Collectors
Ava,Landscape,Modern,Acrylic,"16""x20""",Yes,Miami,272,6,Standard,Cool Tones,Original,Real,Gallery,Calming,Dim Light,Giclée,Families
Emma,Wildlife,Impressionism,Charcoal,"18""x24""",Yes,Vancouver,891,7,Express,Warm Tones,Copy,Print,Gallery,Relaxing,Bright Light,Lithograph,Art Collectors
Leonardo,Seascape,Realism,Mixed Media,"20""x30""",No,Toronto,368,10,Standard,Earthy Tones,Copy,Print,Bedroom,Calming,Natural Light,Lithograph,Interior Designers
Jija,Seascape,Surrealism,Watercolor,"16""x20""",Yes,Montreal,161,6,Free Shipping,Earthy Tones,Copy,Real,Kid Room,Relaxing,Bright Light,Screen Print,Art Collectors
Vincent,Wildlife,Realism,Acrylic,"24""x36""",Yes,Los Angeles,456,7,Express,Neutral Tones,Copy,Real,Office,Calming,Dim Light,N/A,Young Professionals
Claude,Portrait,Modern,Acrylic,"24""x36""",Yes,Los Angeles,875,3,Free Shipping,Neutral Tones,Copy,Real,Bedroom,Joyful,Natural Light,N/A,Interior Designers
Vincent,Portrait,Modern,Mixed Media,"16""x20""",Yes,Los Angeles,704,5,Express,Oceanic Tones,Copy,Print,Gallery,Energetic,Bright Light,Giclée,Interior Designers
Liam,Portrait,Abstract Expressionism,Oil,"20""x30""",No,Montreal,452,3,Express,Cool Tones,Copy,Print,Living Room,Energetic,Natural Light,Lithograph,Art Collectors
Emma,Seascape,Impressionism,Oil,"18""x24""",Yes,Montreal,505,7,Express,Oceanic Tones,Copy,Print,Living Room,Joyful,Dim Light,N/A,Art Collectors
Leonardo,Portrait,Surrealism,Watercolor,"18""x24""",Yes,New York,299,6,Free Shipping,Warm Tones,Copy,Print,Gallery,Calming,Dim Light,N/A,Corporate Clients
Liam,Landscape,Surrealism,Watercolor,"24""x36""",Yes,Chicago,649,9,Standard,Earthy Tones,Original,Real,Kid Room,Joyful,Dim Light,Screen Print,Interior Designers
Vincent,Landscape,Realism,Mixed Media,"20""x30""",Yes,Los Angeles,469,10,Free Shipping,Neutral Tones,Original,Print,Office,Energetic,Bright Light,Lithograph,Corporate Clients
Jija,Landscape,Cubism,Watercolor,"24""x36""",Yes,Montreal,771,6,Standard,Cool Tones,Original,Print,Living Room,Joyful,Bright Light,N/A,Families
Pablo,Wildlife,Modern,Acrylic,"30""x40""",No,Toronto,339,3,Free Shipping,Cool Tones,Copy,Print,Kid Room,Energetic,Natural Light,Screen Print,Families
Claude,Abstract,Surrealism,Oil,"30""x40""",Yes,Chicago,515,9,Standard,Warm Tones,Copy,Real,Kid Room,Energetic,Dim Light,Lithograph,Interior Designers
Claude,Portrait,Surrealism,Oil,"16""x20""",Yes,Miami,539,10,Standard,Neutral Tones,Copy,Real,Gallery,Relaxing,Natural Light,N/A,Corporate Clients
Emma,Wildlife,Realism,Mixed Media,"18""x24""",No,Toronto,197,6,Free Shipping,Oceanic Tones,Copy,Print,Office,Calming,Natural Light,N/A,Families
Jija,Still Life,Cubism,Watercolor,"30""x40""",No,Montreal,956,6,Express,Oceanic Tones,Copy,Print,Kid Room,Relaxing,Natural Light,Lithograph,Corporate Clients
Ava,Portrait,Surrealism,Charcoal,"20""x30""",No,Toronto,715,9,Standard,Neutral Tones,Original,Real,Gallery,Calming,Natural Light,Giclée,Young Professionals
Ava,Abstract,Abstract Expressionism,Mixed Media,"24""x36""",No,Montreal,245,3,Express,Neutral Tones,Original,Real,Kid Room,Calming,Bright Light,Fine Art Print,Art Collectors
Frida,Fantasy,Abstract Expressionism,Charcoal,"30""x40""",Yes,Toronto,907,10,Express,Neutral Tones,Original,Print,Living Room,Calming,Natural Light,Lithograph,Corporate Clients
Vincent,Landscape,Realism,Acrylic,"16""x20""",Yes,Miami,234,9,Express,Earthy Tones,Original,Real,Kid Room,Energetic,Natural Light,Screen Print,Art Collectors
Olivia,Landscape,Cubism,Charcoal,"30""x40""",Yes,Chicago,221,4,Free Shipping,Oceanic Tones,Copy,Print,Living Room,Relaxing,Dim Light,N/A,Young Professionals
Liam,Wildlife,Surrealism,Mixed Media,"16""x20""",No,New York,840,3,Free Shipping,Warm Tones,Copy,Real,Office,Reflective,Dim Light,Lithograph,Corporate Clients
Liam,Wildlife,Surrealism,Charcoal,"16""x20""",No,Vancouver,785,10,Free Shipping,Warm Tones,Copy,Real,Living Room,Reflective,Natural Light,N/A,Art Collectors
Olivia,Abstract,Impressionism,Oil,"30""x40""",No,New York,456,7,Standard,Cool Tones,Original,Real,Kid Room,Reflective,Bright Light,Lithograph,Interior Designers
Liam,Wildlife,Surrealism,Acrylic,"20""x30""",Yes,Chicago,272,7,Standard,Neutral Tones,Copy,Print,Gallery,Energetic,Dim Light,Screen Print,Interior Designers
Emma,Landscape,Surrealism,Watercolor,"18""x24""",No,Chicago,785,4,Express,Earthy Tones,Original,Real,Bedroom,Joyful,Natural Light,N/A,Art Collectors
Pablo,Landscape,Realism,Watercolor,"18""x24""",No,Los Angeles,771,7,Free Shipping,Earthy Tones,Copy,Print,Office,Relaxing,Natural Light,Screen Print,Art Collectors
Noah,Landscape,Surrealism,Acrylic,"20""x30""",Yes,Vancouver,499,10,Free Shipping,Earthy Tones,Original,Print,Gallery,Calming,Dim Light,Giclée,Families
Liam,Landscape,Abstract Expressionism,Oil,"16""x20""",No,Calgary,975,5,Free Shipping,Earthy Tones,Original,Real,Living Room,Reflective,Natural Light,Screen Print,Families
Olivia,Seascape,Realism,Oil,"20""x30""",No,Montreal,719,6,Express,Neutral Tones,Copy,Print,Bedroom,Energetic,Natural Light,Giclée,Interior Designers
Frida,Landscape,Impressionism,Mixed Media,"18""x24""",Yes,Miami,171,7,Standard,Warm Tones,Original,Print,Living Room,Relaxing,Bright Light,Lithograph,Young Professionals
Emma,Fantasy,Surrealism,Oil,"16""x20""",Yes,Calgary,663,10,Standard,Oceanic Tones,Copy,Print,Kid Room,Calming,Bright Light,Screen Print,Art Collectors
Pablo,Wildlife,Surrealism,Acrylic,"18""x24""",No,Toronto,339,3,Free Shipping,Cool Tones,Copy,Real,Bedroom,Calming,Dim Light,N/A,Art Collectors
Pablo,Abstract,Realism,Mixed Media,"16""x20""",Yes,Los Angeles,290,9,Express,Cool Tones,Original,Real,Living Room,Reflective,Dim Light,N/A,Corporate Clients
Pablo,Still Life,Abstract Expressionism,Oil,"20""x30""",Yes,Montreal,212,3,Express,Oceanic Tones,Copy,Print,Bedroom,Relaxing,Dim Light,Lithograph,Art Collectors
Olivia,Landscape,Cubism,Oil,"24""x36""",No,Chicago,396,4,Standard,Earthy Tones,Original,Real,Kid Room,Calming,Bright Light,Lithograph,Young Professionals
Emma,Landscape,Cubism,Mixed Media,"30""x40""",Yes,Los Angeles,179,10,Standard,Warm Tones,Original,Real,Office,Joyful,Natural Light,Screen Print,Families
Jija,Portrait,Impressionism,Watercolor,"24""x36""",Yes,Montreal,245,4,Free Shipping,Cool Tones,Copy,Print,Living Room,Calming,Dim Light,N/A,Corporate Clients
Frida,Landscape,Surrealism,Charcoal,"30""x40""",No,Calgary,933,7,Free Shipping,Neutral Tones,Copy,Real,Kid Room,Energetic,Bright Light,Fine Art Print,Corporate Clients
Olivia,Still Life,Impressionism,Oil,"24""x36""",No,Los Angeles,581,6,Standard,Earthy Tones,Copy,Real,Office,Energetic,Natural Light,Giclée,Art Collectors
Claude,Abstract,Modern,Mixed Media,"20""x30""",Yes,New York,857,7,Express,Neutral Tones,Original,Real,Gallery,Relaxing,Bright Light,Screen Print,Interior Designers
Ava,Still Life,Abstract Expressionism,Charcoal,"16""x20""",Yes,Los Angeles,956,9,Express,Earthy Tones,Copy,Print,Bedroom,Reflective,Dim Light,Screen Print,Families
Liam,Seascape,Realism,Acrylic,"24""x36""",Yes,Chicago,774,5,Standard,Neutral Tones,Original,Print,Office,Reflective,Natural Light,Giclée,Families
Olivia,Still Life,Realism,Mixed Media,"18""x24""",No,Los Angeles,294,6,Standard,Cool Tones,Original,Real,Bedroom,Relaxing,Natural Light,Lithograph,Corporate Clients
Jija,Portrait,Abstract Expressionism,Watercolor,"30""x40""",Yes,Montreal,890,5,Express,Cool Tones,Copy,Real,Living Room,Calming,Dim Light,Screen Print,Young Professionals
Ava,Seascape,Impressionism,Charcoal,"30""x40""",Yes,Los Angeles,413,6,Free Shipping,Earthy Tones,Original,Real,Kid Room,Calming,Dim Light,Lithograph,Corporate Clients
